,Avalon,Cats2d,ECFP2,ECFP4,ECFP6,MACCs,Map4,Mol2vec,Mordred,Ph4,Pubchem,RDK5,RDK6,RDK7,RDKdes,Secfp
Avalon,1.0,6.844854588867008e-62,1.5382723793271611e-13,6.218040326062188e-10,5.188825906397615e-05,3.26858717116719e-27,3.2429870477058506e-09,3.9414986361227336e-11,2.450128038091223e-08,1.6900958454382602e-13,7.177471166336148e-18,0.32034195875434146,0.3331975068121481,0.07894980860819847,5.222573888153495e-12,0.0028189065991874986
Cats2d,6.844854588867008e-62,1.0,1.6494455444414638e-44,3.8441458125437774e-52,1.6166430767457124e-55,2.615380105798807e-26,2.229033377340751e-52,2.516024892527166e-47,5.025595421871052e-55,9.474228591589522e-48,1.7185854642166958e-30,2.5497953813946245e-61,2.3809658871233822e-68,8.172776610579132e-76,5.280861820497533e-52,1.883803690970243e-58
ECFP2,1.5382723793271611e-13,1.6494455444414638e-44,1.0,0.9956358008098111,0.010955147160829556,0.00039385817804334317,0.7142498542382149,1.0,0.3331975068121481,1.0,0.9956358008098111,4.454622820269902e-08,1.1073893254254918e-09,1.9832397388950425e-26,1.0,0.00012054946997823881
ECFP4,6.218040326062188e-10,3.8441458125437774e-52,0.9956358008098111,1.0,1.0,1.1447906354010637e-08,1.0,1.0,1.0,0.9956358008098111,0.007479014678065457,0.00017472824478033687,3.5242423148355e-05,2.562378429111172e-22,1.0,0.13308432787173788
ECFP6,5.188825906397615e-05,1.6166430767457124e-55,0.010955147160829556,1.0,1.0,5.212562204182789e-13,1.0,0.18631478000521337,1.0,0.010955147160829556,5.546306910201129e-06,0.2994692683011563,0.13889284984107308,1.5835824360029386e-14,0.28239037395913824,1.0
MACCs,3.26858717116719e-27,2.615380105798807e-26,0.00039385817804334317,1.1447906354010637e-08,5.212562204182789e-13,1.0,3.2429870477058506e-09,1.0734032567307752e-05,2.5440013332760133e-10,0.0001555187451480267,0.8508576109243147,3.206284594071702e-21,1.1438604670431946e-24,1.849573638228577e-43,4.062688003809076e-07,2.1986037880111285e-16
Map4,3.2429870477058506e-09,2.229033377340751e-52,0.7142498542382149,1.0,1.0,3.2429870477058506e-09,1.0,1.0,1.0,0.7010931220162013,0.002927672485389491,0.0006459184628029581,0.0001555187451480267,2.2544349063280722e-21,1.0,0.2775225210895683
Mol2vec,3.9414986361227336e-11,2.516024892527166e-47,1.0,1.0,0.18631478000521337,1.0734032567307752e-05,1.0,1.0,1.0,1.0,0.208239688574451,4.974064367736888e-06,2.5102444879382855e-07,4.411905292393266e-23,1.0,0.004478713302726704
Mordred,2.450128038091223e-08,5.025595421871052e-55,0.3331975068121481,1.0,1.0,2.5440013332760133e-10,1.0,1.0,1.0,0.3331975068121481,0.0005693834804481082,0.002817576690905916,0.0006673915891250181,3.491280596904101e-20,1.0,0.5887503265617491
Ph4,1.6900958454382602e-13,9.474228591589522e-48,1.0,0.9956358008098111,0.010955147160829556,0.0001555187451480267,0.7010931220162013,1.0,0.3331975068121481,1.0,0.7938906073417065,4.454622820269902e-08,6.397175951616665e-10,5.865031889400082e-27,1.0,0.00011247616417962455
Pubchem,7.177471166336148e-18,1.7185854642166958e-30,0.9956358008098111,0.007479014678065457,5.546306910201129e-06,0.8508576109243147,0.002927672485389491,0.208239688574451,0.0005693834804481082,0.7938906073417065,1.0,5.587667678011693e-12,6.68874543379143e-14,9.939262227147175e-32,0.06330772498882893,3.542107974585134e-08
RDK5,0.32034195875434146,2.5497953813946245e-61,4.454622820269902e-08,0.00017472824478033687,0.2994692683011563,3.206284594071702e-21,0.0006459184628029581,4.974064367736888e-06,0.002817576690905916,4.454622820269902e-08,5.587667678011693e-12,1.0,1.0,3.089025651106162e-07,3.411647665026512e-06,1.0
RDK6,0.3331975068121481,2.3809658871233822e-68,1.1073893254254918e-09,3.5242423148355e-05,0.13889284984107308,1.1438604670431946e-24,0.0001555187451480267,2.5102444879382855e-07,0.0006673915891250181,6.397175951616665e-10,6.68874543379143e-14,1.0,1.0,2.5102444879382855e-07,3.045203605481212e-07,1.0
RDK7,0.07894980860819847,8.172776610579132e-76,1.9832397388950425e-26,2.562378429111172e-22,1.5835824360029386e-14,1.849573638228577e-43,2.2544349063280722e-21,4.411905292393266e-23,3.491280596904101e-20,5.865031889400082e-27,9.939262227147175e-32,3.089025651106162e-07,2.5102444879382855e-07,1.0,2.9962048899182446e-25,3.7065642508345286e-11
RDKdes,5.222573888153495e-12,5.280861820497533e-52,1.0,1.0,0.28239037395913824,4.062688003809076e-07,1.0,1.0,1.0,1.0,0.06330772498882893,3.411647665026512e-06,3.045203605481212e-07,2.9962048899182446e-25,1.0,0.007470494917198124
Secfp,0.0028189065991874986,1.883803690970243e-58,0.00012054946997823881,0.13308432787173788,1.0,2.1986037880111285e-16,0.2775225210895683,0.004478713302726704,0.5887503265617491,0.00011247616417962455,3.542107974585134e-08,1.0,1.0,3.7065642508345286e-11,0.007470494917198124,1.0
