F1_score,AP_score
0.8076923076923077,0.9147797746575794
0.8785046728971964,0.9591493025537456
0.8484848484848485,0.946388626878594
0.7889908256880734,0.8622485471045102
0.8490566037735849,0.948044703999889
0.8411214953271028,0.8974674791573998
0.9056603773584906,0.9514642240937371
0.8518518518518519,0.9336555795671694
0.8333333333333334,0.939640596083709
0.8867924528301887,0.9490653389428104
0.9090909090909091,0.9691700012606674
0.8737864077669903,0.9620446068363167
0.823529411764706,0.9231613600315072
0.7927927927927928,0.863926246913155
0.826923076923077,0.941893320052934
0.8598130841121496,0.9309567901096977
0.7999999999999999,0.8834415096112606
0.8037383177570094,0.9205031719189087
0.8118811881188118,0.9267952554152636
0.8392857142857144,0.9560027907429814
0.8823529411764706,0.9184228691427785
0.8807339449541284,0.9559274406534038
0.7766990291262137,0.8766730223893254
0.8846153846153846,0.9630088244380124
0.7962962962962963,0.8918484153913104
0.78,0.9206156598783215
0.9056603773584906,0.9483731076354049
0.8828828828828829,0.9584870809979035
0.8468468468468469,0.942989932400827
0.8737864077669903,0.9424783403423156
